Category,Physics,Chemistry,Math,Qualified_For_Advanced
OBC,31,36,34,1
ST,17,85,33,1
General,24,35,33,0
SC,58,17,46,1
SC,54,29,30,1
General,22,54,1,0
SC,44,41,12,1
EWS,57,45,-6,1
General,20,6,42,0
ST,18,30,68,1
General,16,68,36,1
General,53,51,24,1
OBC,9,7,53,0
General,25,-10,37,0
OBC,52,38,14,1
OBC,30,5,25,0
SC,11,64,33,1
EWS,15,32,39,0
General,45,24,54,1
OBC,28,27,2,0
OBC,52,27,30,1
OBC,-2,44,26,0
OBC,29,-9,13,0
OBC,42,35,28,1
SC,57,72,13,1
General,21,46,12,0
OBC,27,66,22,1
OBC,64,27,21,1
OBC,21,26,0,0
General,10,43,38,0
General,69,18,48,1
SC,48,25,19,1
ST,75,4,17,1
General,38,42,54,1
General,42,66,18,1
ST,22,16,9,1
General,24,61,12,0
OBC,16,57,11,0
SC,25,39,50,1
OBC,18,57,35,1
EWS,34,24,23,0
SC,55,35,17,1
General,62,40,59,1
SC,1,41,11,0
General,2,17,34,0
EWS,32,13,44,0
OBC,53,57,54,1
SC,47,17,32,1
General,25,48,19,0
OBC,11,32,-8,0
General,4,77,6,0
SC,21,51,23,1
SC,29,15,32,1
OBC,40,26,50,1
OBC,25,56,1,0
General,28,39,11,0
SC,11,70,26,1
General,55,51,15,1
OBC,5,70,9,0
General,52,45,26,1
OBC,29,53,44,1
General,-10,82,48,1
OBC,13,54,29,1
General,49,37,27,1
OBC,1,42,39,0
General,48,60,20,1
General,22,28,41,0
OBC,40,8,17,0
ST,20,51,28,1
SC,68,15,27,1
OBC,27,47,22,1
EWS,57,36,53,1
OBC,36,79,41,1
EWS,64,18,11,1
ST,18,73,38,1
General,36,48,28,1
OBC,26,64,7,1
OBC,58,19,51,1
OBC,23,36,53,1
OBC,20,25,19,0
General,26,51,34,1
ST,50,60,39,1
OBC,33,32,2,0
General,67,71,36,1
OBC,31,46,44,1
SC,11,-10,30,0
EWS,17,33,11,0
OBC,20,63,49,1
EWS,64,66,37,1
OBC,38,54,30,1
OBC,65,90,43,1
General,68,42,26,1
General,30,14,28,0
General,41,72,48,1
ST,42,47,27,1
OBC,25,47,30,1
General,4,66,33,0
General,54,6,25,0
ST,62,19,14,1
General,50,26,35,1
OBC,-8,44,25,0
OBC,51,16,6,0
OBC,18,57,29,1
OBC,55,69,33,1
ST,58,69,8,1
SC,-7,25,8,0
OBC,36,23,14,0
OBC,31,23,37,1
OBC,18,34,19,0
OBC,24,28,49,1
General,-10,-3,22,0
OBC,59,26,21,1
General,43,75,46,1
General,73,41,43,1
General,32,20,21,0
General,39,56,17,1
OBC,22,57,14,1
OBC,-1,33,27,0
OBC,48,34,52,1
EWS,-9,51,23,0
SC,19,59,49,1
OBC,30,46,38,1
OBC,12,43,47,1
General,32,26,51,1
EWS,41,43,21,1
General,21,39,42,0
General,29,52,40,1
OBC,47,18,27,1
OBC,34,35,26,1
OBC,41,-9,1,0
OBC,22,50,7,0
OBC,54,62,18,1
EWS,51,79,27,1
OBC,43,29,27,1
General,47,56,-5,0
General,24,27,38,0
General,55,44,27,1
OBC,36,49,31,1
EWS,42,26,6,0
OBC,29,73,27,1
OBC,8,26,37,0
General,40,75,49,1
SC,21,-3,35,0
General,50,73,30,1
SC,20,24,39,1
SC,21,17,57,1
